file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023397	6.88534	0.00038	0.009625	6.97331
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000643	0.000144	6.2e-05	3.2e-05	0.000798
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000521	8.4e-05	5.6e-05	2.4e-05	0.000611
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000528	0.000126	6.7e-05	3.1e-05	0.000865
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015684	0.001958	0.000223	8.4e-05	0.015964
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.016031	0.000809	0.000287	3.1e-05	0.017007
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002161	0.000582	0.000118	5.4e-05	0.002343
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.00734	0.001114	0.000209	8.4e-05	0.007665
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005734	0.001952	0.000149	0.000145	0.0059
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002492	0.000299	0.000127	3.4e-05	0.002645
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002468	0.000659	9.8e-05	6.4e-05	0.002637
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001992	0.001545	4.8e-05	8.1e-05	0.002466
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001903	0.000809	7.6e-05	6.6e-05	0.002056
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007784	0.194273	4.1e-05	0.002736	0.202422
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.084505	6.12044	0.000477	0.002777	6.2004
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008788	0.00162	0.000159	7.4e-05	0.009018
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000792	0.000882	3.8e-05	7.4e-05	0.001004
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004256	0.002821	0.000128	0.000221	0.004486
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024944	0.001002	0.00029	3.7e-05	0.025539
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.004945	0.000317	0.00012	3.5e-05	0.005186
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002343	0.00033	0.000102	4.3e-05	0.002496
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001206	0.000174	6.9e-05	3.9e-05	0.001245
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002288	0.000265	0.000118	4e-05	0.002477
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.148018	0.003551	0.001056	8.1e-05	0.147886
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023545	6.82087	0.000385	0.009362	6.90161
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000646	0.000142	6.4e-05	3.2e-05	0.000736
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000517	8.4e-05	5.7e-05	2.6e-05	0.000578
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000534	0.000126	6.8e-05	3.1e-05	0.000542
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015639	0.001948	0.000219	8.2e-05	0.016293
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.016272	0.000823	0.000296	3e-05	0.017321
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.00205	0.000582	0.00012	5.6e-05	0.002115
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.00719	0.001107	0.000215	8.3e-05	0.007424
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005682	0.001943	0.00015	0.000145	0.005923
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002608	0.000295	0.000129	3.3e-05	0.002812
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.00248	0.000649	0.000102	6.4e-05	0.002512
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001895	0.001553	4.9e-05	8.2e-05	0.002175
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001734	0.00079	7.5e-05	6.7e-05	0.001714
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007387	0.200241	4e-05	0.002722	0.207752
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.084032	6.01724	0.000488	0.002754	6.09874
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008784	0.001635	0.000165	7.6e-05	0.009157
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000788	0.000881	3.8e-05	7.3e-05	0.000933
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.0042	0.002794	0.000128	0.000217	0.004307
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.025061	0.001013	0.000288	3.4e-05	0.025764
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.004923	0.000318	0.000123	3.6e-05	0.005143
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002356	0.00033	0.000104	4.3e-05	0.002531
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001175	0.000179	7.2e-05	4.3e-05	0.001294
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002293	0.000269	0.000117	4.1e-05	0.002463
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.151238	0.003578	0.00105	8.3e-05	0.155584
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023357	6.83695	0.000375	0.009667	6.91807
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000646	0.000141	6.5e-05	3.3e-05	0.000755
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.00052	8.6e-05	5.5e-05	2.5e-05	0.000559
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000508	0.000124	6.8e-05	3.1e-05	0.000551
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015781	0.001961	0.000224	8e-05	0.016246
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015597	0.000812	0.000285	3e-05	0.016193
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002183	0.000605	0.000119	5.4e-05	0.002343
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007156	0.00111	0.000217	8.2e-05	0.007571
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005714	0.001946	0.000147	0.000145	0.006007
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002589	0.000292	0.000129	3.2e-05	0.002907
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002541	0.000661	0.0001	6.1e-05	0.002662
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001929	0.001534	4.8e-05	8.2e-05	0.002281
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001745	0.000809	7.5e-05	6.8e-05	0.001807
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007394	0.198153	4e-05	0.002723	0.206433
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.084724	6.0646	0.000508	0.00275	6.1446
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.0084	0.00161	0.00016	7.5e-05	0.008651
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000777	0.000873	3.8e-05	7.3e-05	0.001029
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004305	0.002822	0.000127	0.000221	0.00489
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.02481	0.000998	0.000291	3.2e-05	0.025507
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.005165	0.000318	0.000119	3.4e-05	0.005375
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002353	0.000329	0.000108	4.5e-05	0.002519
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001197	0.000171	7e-05	3.6e-05	0.001329
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002344	0.000265	0.000116	3.9e-05	0.0026
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.150071	0.003557	0.001056	8e-05	0.151643
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023358	6.87665	0.000377	0.009394	6.9567
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000644	0.000143	6.4e-05	3.1e-05	0.000745
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000521	8.5e-05	5.4e-05	2.5e-05	0.000726
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000528	0.000125	6.7e-05	3.1e-05	0.000631
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.01556	0.001943	0.000219	8.1e-05	0.016353
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015975	0.000807	0.000287	3e-05	0.016609
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002184	0.000584	0.000121	5.7e-05	0.002498
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007293	0.001106	0.000212	8.2e-05	0.007648
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005725	0.00195	0.000147	0.000144	0.005947
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002589	0.000293	0.000125	3.2e-05	0.00258
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002605	0.000656	9.9e-05	6.2e-05	0.002821
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001886	0.001543	4.8e-05	8.2e-05	0.002246
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.00173	0.000808	7.6e-05	6.6e-05	0.00186
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007503	0.197839	4.1e-05	0.002709	0.208608
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.083132	6.06811	0.0005	0.002757	6.15214
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008638	0.001608	0.00016	7.5e-05	0.009058
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.00076	0.000875	3.8e-05	7.3e-05	0.001018
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004566	0.002846	0.000128	0.000217	0.005317
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024274	0.000998	0.000286	3.3e-05	0.024863
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.005016	0.000315	0.000121	3.5e-05	0.005309
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002343	0.00033	0.000102	4.2e-05	0.002522
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001169	0.00017	7e-05	3.7e-05	0.001052
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002323	0.000266	0.000114	4e-05	0.002537
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.151094	0.003543	0.001048	8.2e-05	0.152682
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023482	6.78111	0.000375	0.009346	6.86116
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000642	0.00014	6.5e-05	3.2e-05	0.000629
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.00052	8.5e-05	5.4e-05	2.5e-05	0.000654
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000546	0.000124	6.8e-05	3e-05	0.000646
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.01569	0.002055	0.000219	7.9e-05	0.016033
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015912	0.000807	0.000295	3e-05	0.016745
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002055	0.000585	0.000119	5.4e-05	0.00224
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007157	0.001106	0.000212	8.3e-05	0.00742
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005702	0.001961	0.000146	0.000146	0.005999
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002591	0.000294	0.000129	4.3e-05	0.008614
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002563	0.000662	9.9e-05	6.2e-05	0.002962
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.00189	0.001514	4.8e-05	8.1e-05	0.00225
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001734	0.00079	7.5e-05	6.6e-05	0.001877
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007474	0.191865	4e-05	0.002732	0.199244
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.084099	6.07172	0.000478	0.002771	6.15391
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.00821	0.001605	0.000161	7.7e-05	0.008649
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000756	0.000876	3.7e-05	7.4e-05	0.001035
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004307	0.002815	0.000127	0.000218	0.004448
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024854	0.000998	0.000285	3.3e-05	0.025264
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.004926	0.000316	0.000118	3.6e-05	0.005163
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002344	0.000331	0.000103	4.3e-05	0.002524
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001221	0.000172	6.9e-05	3.7e-05	0.001183
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002308	0.000267	0.000121	4e-05	0.00261
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.150107	0.003545	0.00105	8.1e-05	0.152505
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023331	6.83697	0.000391	0.009347	6.91478
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000645	0.000141	6.6e-05	3.2e-05	0.000751
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000521	8.4e-05	5.7e-05	2.5e-05	0.000613
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000532	0.000129	6.8e-05	3.1e-05	0.000616
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015695	0.001944	0.000226	8.2e-05	0.015706
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015831	0.0008	0.000296	3.2e-05	0.016726
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002075	0.000582	0.000119	5.5e-05	0.002245
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007168	0.001121	0.00021	8.3e-05	0.007479
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005727	0.001946	0.000147	0.000144	0.005923
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002585	0.000295	0.000125	3.3e-05	0.002795
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002606	0.000659	0.000101	6.3e-05	0.002842
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.00189	0.001539	4.8e-05	8.1e-05	0.002228
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001743	0.000804	8.2e-05	6.8e-05	0.001822
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007605	0.196123	4.3e-05	0.002736	0.204471
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.081664	6.09077	0.000477	0.002746	6.17172
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008377	0.001604	0.000159	7.5e-05	0.008698
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000769	0.000875	3.7e-05	7.4e-05	0.001117
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004188	0.002789	0.000128	0.000223	0.004226
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024831	0.000998	0.000286	3.2e-05	0.025434
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.004906	0.000316	0.000121	3.5e-05	0.005189
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002337	0.000328	0.000104	4.4e-05	0.002497
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001168	0.000173	7.1e-05	3.7e-05	0.001259
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002345	0.00027	0.000115	4.2e-05	0.002402
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.149514	0.00356	0.001043	8.5e-05	0.154064
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023416	6.839	0.000374	0.009645	6.91917
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000641	0.000141	6.5e-05	3.2e-05	0.000841
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.00052	8.4e-05	5.5e-05	2.5e-05	0.000628
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000527	0.000127	6.6e-05	3.2e-05	0.00062
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015276	0.001946	0.000219	8.4e-05	0.01578
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.016149	0.000831	0.000296	3e-05	0.017447
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002158	0.000603	0.000117	5.5e-05	0.002115
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007256	0.001105	0.000212	8.2e-05	0.007614
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005728	0.001962	0.000147	0.000151	0.006008
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002582	0.000297	0.000127	3.4e-05	0.002922
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.00256	0.000649	0.0001	6e-05	0.002709
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.0019	0.001538	4.8e-05	8.3e-05	0.00225
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001739	0.000812	7.5e-05	6.6e-05	0.001892
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007434	0.192865	3.9e-05	0.002737	0.200375
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.085414	6.07908	0.000476	0.002817	6.16254
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008406	0.001601	0.000162	7.6e-05	0.008836
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000763	0.00088	3.7e-05	7.2e-05	0.001027
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004376	0.002844	0.000129	0.000219	0.004616
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024953	0.001003	0.000298	3.2e-05	0.025814
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.00503	0.000317	0.000118	3.4e-05	0.005178
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002346	0.00033	0.000103	4.3e-05	0.002681
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001225	0.000173	7e-05	3.8e-05	0.001458
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002286	0.000266	0.000115	3.9e-05	0.002461
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.150435	0.003573	0.00105	8.3e-05	0.15158
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023453	6.87705	0.000376	0.009681	6.95669
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000641	0.000142	6.5e-05	3.2e-05	0.000757
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000522	8.4e-05	5.7e-05	2.4e-05	0.000598
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000529	0.000126	6.7e-05	3e-05	0.00067
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.016	0.001945	0.000216	8.9e-05	0.016383
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015821	0.000834	0.000286	3.1e-05	0.016796
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002062	0.000584	0.000118	5.7e-05	0.002295
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007131	0.00111	0.000212	8.1e-05	0.007455
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005717	0.001951	0.000148	0.000144	0.005969
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002582	0.000294	0.000124	3.2e-05	0.00288
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002545	0.000683	0.0001	6.1e-05	0.002581
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001891	0.001541	4.8e-05	8.1e-05	0.002039
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001765	0.000829	7.6e-05	6.7e-05	0.001911
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007741	0.199584	4e-05	0.002718	0.210694
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.08212	6.07836	0.000486	0.002775	6.16065
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008773	0.001603	0.000163	7.5e-05	0.009233
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.000758	0.000874	3.7e-05	7.3e-05	0.001025
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004275	0.00283	0.000129	0.000216	0.004503
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024222	0.000995	0.000293	3.2e-05	0.024678
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.005135	0.000316	0.000118	3.4e-05	0.005423
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.00233	0.000332	0.000103	4.4e-05	0.002351
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001196	0.000171	6.8e-05	3.7e-05	0.00137
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.00228	0.000265	0.000117	3.9e-05	0.002423
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.149706	0.003539	0.00105	8.1e-05	0.152263
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.02881	12.0933	0.000462	0.016536	12.206
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000792	0.000175	7.8e-05	3.8e-05	0.00089
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000671	0.000109	6.8e-05	3.2e-05	0.00094
